response;CO2;Nutrients;Species;comp;expt
18,434;400;50%Long Ashton;O,punctata;Stomatal limitation;1
27,529;180;100%Long Ashton;O,punctata;Stomatal limitation;1
35,436;180;100%Long Ashton;O,punctata;Stomatal limitation;1
29,932;180;100%Long Ashton;O,punctata;Stomatal limitation;1
25,941;280;100%Long Ashton;O,punctata;Stomatal limitation;1
28,465;280;100%Long Ashton;O,punctata;Stomatal limitation;1
14,811;280;100%Long Ashton;O,punctata;Stomatal limitation;1
19,237;400;100%Long Ashton;O,punctata;Stomatal limitation;1
12,212;400;100%Long Ashton;O,punctata;Stomatal limitation;1
18,434;400;100%Long Ashton;O,punctata;Stomatal limitation;1
6,413;400;100%Long Ashton;O,pes-caprae;Photosynthetic rate;3
10,260;400;100%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,876;400;100%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,094;400;100%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,111;400;70%Long Ashton;O,pes-caprae;Photosynthetic rate;3
9,623;400;70%Long Ashton;O,pes-caprae;Photosynthetic rate;3
5,973;400;70%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,111;400;70%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,482;400;70%Long Ashton;O,pes-caprae;Photosynthetic rate;3
7,626;400;50%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,726;400;50%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,587;400;50%Long Ashton;O,pes-caprae;Photosynthetic rate;3
6,028;400;50%Long Ashton;O,pes-caprae;Photosynthetic rate;3
14,127;400;100%Long Ashton;O,pes-caprae;Stomatal limitation;3
13,232;400;100%Long Ashton;O,pes-caprae;Stomatal limitation;3
22,519;400;100%Long Ashton;O,pes-caprae;Stomatal limitation;3
17,096;400;100%Long Ashton;O,pes-caprae;Stomatal limitation;3
-10,138;400;70%Long Ashton;O,pes-caprae;Stomatal limitation;3
19,568;400;70%Long Ashton;O,pes-caprae;Stomatal limitation;3
98,049;400;70%Long Ashton;O,pes-caprae;Stomatal limitation;3
23,330;400;70%Long Ashton;O,pes-caprae;Stomatal limitation;3
17,577;400;70%Long Ashton;O,pes-caprae;Stomatal limitation;3
12,657;400;50%Long Ashton;O,pes-caprae;Stomatal limitation;3
10,866;400;50%Long Ashton;O,pes-caprae;Stomatal limitation;3
16,442;400;50%Long Ashton;O,pes-caprae;Stomatal limitation;3
9,800;400;50%Long Ashton;O,pes-caprae;Stomatal limitation;3
0,107;400;100%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,172;400;100%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,115;400;100%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,102;400;100%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,102;400;70%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,161;400;70%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,100;400;70%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,102;400;70%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,109;400;70%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,128;400;50%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,113;400;50%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,110;400;50%Long Ashton;O,pes-caprae;Stomatal conductance;3
0,101;400;50%Long Ashton;O,pes-caprae;Stomatal conductance;3
